2023-06-24 00:18:02,414 - INFO - n_updates: 3561, episode: 40, done_reason: reverse, lap_time: 5.949455499649048, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:18:11,051 - INFO - n_updates: 3590, episode: 41, done_reason: reverse, lap_time: 5.3105528354644775, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:18:56,486 - INFO - n_updates: 3862, episode: 42, done_reason: stuck, lap_time: 42.1126024723053, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:19:17,320 - INFO - n_updates: 3963, episode: 43, done_reason: reverse, lap_time: 17.511035442352295, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:20:02,873 - INFO - n_updates: 4243, episode: 44, done_reason: stuck, lap_time: 42.22399592399597, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:20:22,747 - INFO - n_updates: 4336, episode: 45, done_reason: stuck, lap_time: 16.550087213516235, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:20:44,623 - INFO - n_updates: 4437, episode: 46, done_reason: stuck, lap_time: 18.54658317565918, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:21:14,507 - INFO - n_updates: 4597, episode: 47, done_reason: stuck, lap_time: 26.56274962425232, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:21:34,057 - INFO - n_updates: 4689, episode: 48, done_reason: stuck, lap_time: 16.208234548568726, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:21:53,966 - INFO - n_updates: 4785, episode: 49, done_reason: stuck, lap_time: 16.585720777511597, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:22:03,927 - INFO - n_updates: 4824, episode: 50, done_reason: reverse, lap_time: 6.637078523635864, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:22:14,208 - INFO - n_updates: 4861, episode: 51, done_reason: reverse, lap_time: 6.94499135017395, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:22:52,502 - INFO - n_updates: 5122, episode: 52, done_reason: reverse, lap_time: 34.966367959976196, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:23:02,877 - INFO - n_updates: 5161, episode: 53, done_reason: reverse, lap_time: 7.051472425460815, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:23:39,299 - INFO - n_updates: 5409, episode: 54, done_reason: reverse, lap_time: 33.09691762924194, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:23:58,332 - INFO - n_updates: 5494, episode: 55, done_reason: stuck, lap_time: 15.712126731872559, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:24:06,880 - INFO - n_updates: 5523, episode: 56, done_reason: reverse, lap_time: 5.224290609359741, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:24:25,961 - INFO - n_updates: 5610, episode: 57, done_reason: stuck, lap_time: 15.756382942199707, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:24:37,792 - INFO - n_updates: 5657, episode: 58, done_reason: reverse, lap_time: 8.498890399932861, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:24:56,786 - INFO - n_updates: 5745, episode: 59, done_reason: stuck, lap_time: 15.670220136642456, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:25:02,794 - INFO - n_updates: 5760, episode: 60, done_reason: reverse, lap_time: 2.680596351623535, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:25:11,044 - INFO - n_updates: 5788, episode: 61, done_reason: reverse, lap_time: 4.928979158401489, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:25:17,561 - INFO - n_updates: 5804, episode: 62, done_reason: reverse, lap_time: 3.1948001384735107, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:25:35,867 - INFO - n_updates: 5885, episode: 63, done_reason: stuck, lap_time: 14.982162952423096, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:25:43,505 - INFO - n_updates: 5909, episode: 64, done_reason: reverse, lap_time: 4.311258554458618, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:25:51,528 - INFO - n_updates: 5936, episode: 65, done_reason: reverse, lap_time: 4.708064794540405, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:26:10,476 - INFO - n_updates: 6021, episode: 66, done_reason: stuck, lap_time: 15.626562118530273, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:26:20,241 - INFO - n_updates: 6055, episode: 67, done_reason: reverse, lap_time: 6.444151401519775, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:26:29,654 - INFO - n_updates: 6089, episode: 68, done_reason: reverse, lap_time: 6.095711946487427, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:27:06,329 - INFO - n_updates: 6338, episode: 69, done_reason: reverse, lap_time: 33.34608173370361, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:27:37,481 - INFO - n_updates: 6507, episode: 70, done_reason: stuck, lap_time: 27.81810760498047, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:28:12,700 - INFO - n_updates: 6743, episode: 71, done_reason: reverse, lap_time: 31.89305067062378, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:28:30,114 - INFO - n_updates: 6821, episode: 72, done_reason: stuck, lap_time: 14.086169004440308, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:29:01,403 - INFO - n_updates: 6989, episode: 73, done_reason: stuck, lap_time: 27.968634843826294, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:29:11,893 - INFO - n_updates: 7030, episode: 74, done_reason: reverse, lap_time: 7.162315130233765, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:29:29,920 - INFO - n_updates: 7108, episode: 75, done_reason: stuck, lap_time: 14.707015037536621, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:29:47,754 - INFO - n_updates: 7189, episode: 76, done_reason: stuck, lap_time: 14.506245136260986, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:30:06,001 - INFO - n_updates: 7270, episode: 77, done_reason: stuck, lap_time: 14.927814483642578, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:30:18,778 - INFO - n_updates: 7321, episode: 78, done_reason: reverse, lap_time: 9.4554123878479, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:30:24,921 - INFO - n_updates: 7336, episode: 79, done_reason: reverse, lap_time: 2.8251521587371826, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:30:56,012 - INFO - n_updates: 7500, episode: 80, done_reason: stuck, lap_time: 27.76847505569458, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:31:13,708 - INFO - n_updates: 7577, episode: 81, done_reason: stuck, lap_time: 14.373237133026123, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:31:22,385 - INFO - n_updates: 7606, episode: 82, done_reason: reverse, lap_time: 5.357344388961792, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:31:56,729 - INFO - n_updates: 7824, episode: 83, done_reason: reverse, lap_time: 31.015910863876343, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:32:05,394 - INFO - n_updates: 7853, episode: 84, done_reason: reverse, lap_time: 5.347890377044678, new_best_laptime: True, current_best_lap_time: inf
2023-06-24 00:32:56,965 - INFO - n_updates: 8304, episode: 85, done_reason: lap_completed, lap_time: 48.237762451171875, new_best_laptime: True, current_best_lap_time: 48.237762451171875
2023-06-24 00:33:05,137 - INFO - n_updates: 8331, episode: 86, done_reason: reverse, lap_time: 4.852090120315552, new_best_laptime: True, current_best_lap_time: 48.237762451171875
2023-06-24 00:33:14,073 - INFO - n_updates: 8362, episode: 87, done_reason: reverse, lap_time: 5.613285303115845, new_best_laptime: True, current_best_lap_time: 48.237762451171875
2023-06-24 00:33:23,740 - INFO - n_updates: 8397, episode: 88, done_reason: reverse, lap_time: 6.345437049865723, new_best_laptime: True, current_best_lap_time: 48.237762451171875
2023-06-24 00:34:04,263 - INFO - n_updates: 8740, episode: 89, done_reason: lap_completed, lap_time: 37.19050669670105, new_best_laptime: True, current_best_lap_time: 37.19050669670105
2023-06-24 00:34:22,320 - INFO - n_updates: 8821, episode: 90, done_reason: stuck, lap_time: 14.731833934783936, new_best_laptime: True, current_best_lap_time: 37.19050669670105
2023-06-24 00:35:01,512 - INFO - n_updates: 9143, episode: 91, done_reason: lap_completed, lap_time: 35.86416435241699, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:35:50,916 - INFO - n_updates: 9568, episode: 92, done_reason: lap_completed, lap_time: 46.07217979431152, new_best_laptime: False, current_best_lap_time: 35.86416435241699
2023-06-24 00:36:21,834 - INFO - n_updates: 9779, episode: 93, done_reason: reverse, lap_time: 27.58806562423706, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:36:39,506 - INFO - n_updates: 9856, episode: 94, done_reason: stuck, lap_time: 14.348644733428955, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:37:06,194 - INFO - n_updates: 9991, episode: 95, done_reason: stuck, lap_time: 23.364386081695557, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:37:14,068 - INFO - n_updates: 10016, episode: 96, done_reason: reverse, lap_time: 4.545015096664429, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:37:26,683 - INFO - n_updates: 10069, episode: 97, done_reason: reverse, lap_time: 9.294090509414673, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:38:08,458 - INFO - n_updates: 10329, episode: 98, done_reason: stuck, lap_time: 38.44881224632263, new_best_laptime: False, current_best_lap_time: 35.86416435241699
2023-06-24 00:38:38,958 - INFO - n_updates: 10523, episode: 99, done_reason: reverse, lap_time: 27.17472219467163, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:39:06,925 - INFO - n_updates: 10702, episode: 100, done_reason: reverse, lap_time: 24.641596794128418, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:39:14,494 - INFO - n_updates: 10725, episode: 101, done_reason: reverse, lap_time: 4.246983289718628, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:39:40,820 - INFO - n_updates: 10858, episode: 102, done_reason: stuck, lap_time: 23.003582239151, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:39:50,672 - INFO - n_updates: 10894, episode: 103, done_reason: reverse, lap_time: 6.528561592102051, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:40:38,838 - INFO - n_updates: 11213, episode: 104, done_reason: stuck, lap_time: 44.83610725402832, new_best_laptime: False, current_best_lap_time: 35.86416435241699
2023-06-24 00:41:06,211 - INFO - n_updates: 11352, episode: 105, done_reason: stuck, lap_time: 24.04858136177063, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:41:21,201 - INFO - n_updates: 11415, episode: 106, done_reason: reverse, lap_time: 11.668026208877563, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:41:39,010 - INFO - n_updates: 11493, episode: 107, done_reason: stuck, lap_time: 14.479681015014648, new_best_laptime: True, current_best_lap_time: 35.86416435241699
2023-06-24 00:41:52,520 - INFO - n_updates: 11552, episode: 108, done_reason: reverse, lap_time: 10.190290927886963, new_best_laptime: True, current_best_lap_time: 35.86416435241699
